"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1184103001 MS FOR [WFI2731]","1","07/31/2018 10:10","1463726","MS","","07/31/2018 16:00","08/01/2018 10:32","WFI2731","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",6.07,"=","",,0.05,"mg/L",2,5,5,,,5,116,90,110,0.269,,,,3,"","Waters Department",20,11,"AYC",0.1,0.05,0.025
"","1184103001 MSD FOR [WFI2731]","1","07/31/2018 10:10","1463727","MSD","","07/31/2018 16:00","08/01/2018 10:34","WFI2731","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.79,"=","",,0.05,"mg/L",2,5,5,,,5,111,90,110,0.269,4.7,0,25,3,"","Waters Department",20,11,"AYC",0.1,0.05,0.025
"","1463805 MS FOR [MXX31800]","9","07/31/2018 12:00","1463806","MS","","08/02/2018 08:11","08/04/2018 21:23","MMS10267","MXX31800","E200.2","08/02/2018 08:00","Arsenic",".","7440-38-2","N","EP200.8",1030,"=","",,2.5,"ug/L",1,20,50,,,1000,103,70,130,0,,,,3,"(<10)","Metals by ICP/MS (Provisional Cert)",15,3,"DSH",5,2.5,1.5
"","1463805 MS FOR [MXX31800]","9","07/31/2018 12:00","1463806","MS","","08/02/2018 08:11","08/04/2018 21:23","MMS10267","MXX31800","E200.2","08/02/2018 08:00","Cadmium",".","7440-43-9","N","EP200.8",103,"=","",,0.25,"ug/L",1,20,50,,,100,103,70,130,0,,,,3,"(<5)","Metals by ICP/MS (Provisional Cert)",15,7,"DSH",0.5,0.25,0.15
"","1463805 MS FOR [MXX31800]","9","07/31/2018 12:00","1463806","MS","","08/02/2018 08:11","08/04/2018 21:23","MMS10267","MXX31800","E200.2","08/02/2018 08:00","Chromium",".","7440-47-3","N","EP200.8",409,"=","",,1,"ug/L",1,20,50,,,400,102,70,130,0,,,,3,"(<100)","Metals by ICP/MS (Provisional Cert)",15,9,"DSH",2,1,0.78
"","1463805 MS FOR [MXX31800]","9","07/31/2018 12:00","1463806","MS","","08/02/2018 08:11","08/04/2018 21:23","MMS10267","MXX31800","E200.2","08/02/2018 08:00","Copper",".","7440-50-8","N","EP200.8",1000,"=","",,0.5,"ug/L",1,20,50,,,1000,99,70,130,10.6,,,,3,"(<1000)","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",1,0.5,0.31
"","1463805 MS FOR [MXX31800]","9","07/31/2018 12:00","1463806","MS","","08/02/2018 08:11","08/04/2018 21:23","MMS10267","MXX31800","E200.2","08/02/2018 08:00","Lead",".","7439-92-1","N","EP200.8",1090,"=","",,0.1,"ug/L",1,20,50,,,1000,109,70,130,0.369,,,,3,"(<15)","Metals by ICP/MS (Provisional Cert)",15,13,"DSH",0.2,0.1,0.062
"","1463805 MS FOR [MXX31800]","9","07/31/2018 12:00","1463806","MS","","08/02/2018 08:11","08/04/2018 21:23","MMS10267","MXX31800","E200.2","08/02/2018 08:00","Zinc",".","7440-66-6","N","EP200.8",1040,"=","",,2.5,"ug/L",1,20,50,,,1000,102,70,130,15.9,,,,3,"(<5000)","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",5,2.5,2.5
"","CB for HBN 1783478 (WFI/2731)","1","","1463732","CB","","08/01/2018 17:16","08/01/2018 10:14","WFI2731","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783478 (WFI/2731)","1","","1463732","CB","","08/01/2018 17:16","08/01/2018 10:14","WFI2731","","","","",".","Nitrite","N","SM21 4500NO3-F",0.016,"J","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,10,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783478 (WFI/2731)","1","","1463732","CB","","08/01/2018 17:16","08/01/2018 10:14","WFI2731","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",0.0166,"J","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,11,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783478 (WFI/2731)","1","","1463734","CB","","08/01/2018 17:16","08/01/2018 10:37","WFI2731","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783478 (WFI/2731)","1","","1463734","CB","","08/01/2018 17:16","08/01/2018 10:37","WFI2731","","","","",".","Nitrite","N","SM21 4500NO3-F",0.0176,"J","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,10,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783478 (WFI/2731)","1","","1463734","CB","","08/01/2018 17:16","08/01/2018 10:37","WFI2731","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",0.0216,"J","",,0.025,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,11,"AYC",0.05,0.025,0.0125
"","CB for HBN 1783709 (MMS/10267)","1","","1464830","CB","","08/06/2018 13:06","08/04/2018 20:32","MMS10267","","","","Arsenic",".","7440-38-2","N","EP200.8",0,"U","",,1,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,3,"DSH",2,1,0.6
"","CB for HBN 1783709 (MMS/10267)","1","","1464830","CB","","08/06/2018 13:06","08/04/2018 20:32","MMS10267","","","","Cadmium",".","7440-43-9","N","EP200.8",0,"U","",,0.1,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,7,"DSH",0.2,0.1,0.06
"","CB for HBN 1783709 (MMS/10267)","1","","1464830","CB","","08/06/2018 13:06","08/04/2018 20:32","MMS10267","","","","Chromium",".","7440-47-3","N","EP200.8",0,"U","",,0.4,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,9,"DSH",0.8,0.4,0.312
"","CB for HBN 1783709 (MMS/10267)","1","","1464830","CB","","08/06/2018 13:06","08/04/2018 20:32","MMS10267","","","","Copper",".","7440-50-8","N","EP200.8",0,"U","",,0.2,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","CB for HBN 1783709 (MMS/10267)","1","","1464830","CB","","08/06/2018 13:06","08/04/2018 20:32","MMS10267","","","","Lead",".","7439-92-1","N","EP200.8",0,"U","",,0.04,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,13,"DSH",0.08,0.04,0.0248
"","CB for HBN 1783709 (MMS/10267)","1","","1464830","CB","","08/06/2018 13:06","08/04/2018 20:32","MMS10267","","","","Zinc",".","7440-66-6","N","EP200.8",0,"U","",,1,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",2,1,1
"","CB for HBN 1783709 (MMS/10267)","1","","1464832","CB","","08/06/2018 13:07","08/04/2018 21:08","MMS10267","","","","Arsenic",".","7440-38-2","N","EP200.8",0,"U","",,1,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,3,"DSH",2,1,0.6
"","CB for HBN 1783709 (MMS/10267)","1","","1464832","CB","","08/06/2018 13:07","08/04/2018 21:08","MMS10267","","","","Cadmium",".","7440-43-9","N","EP200.8",0,"U","",,0.1,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,7,"DSH",0.2,0.1,0.06
"","CB for HBN 1783709 (MMS/10267)","1","","1464832","CB","","08/06/2018 13:07","08/04/2018 21:08","MMS10267","","","","Chromium",".","7440-47-3","N","EP200.8",0,"U","",,0.4,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,9,"DSH",0.8,0.4,0.312
"","CB for HBN 1783709 (MMS/10267)","1","","1464832","CB","","08/06/2018 13:07","08/04/2018 21:08","MMS10267","","","","Copper",".","7440-50-8","N","EP200.8",0,"U","",,0.2,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","CB for HBN 1783709 (MMS/10267)","1","","1464832","CB","","08/06/2018 13:07","08/04/2018 21:08","MMS10267","","","","Lead",".","7439-92-1","N","EP200.8",0,"U","",,0.04,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,13,"DSH",0.08,0.04,0.0248
"","CB for HBN 1783709 (MMS/10267)","1","","1464832","CB","","08/06/2018 13:07","08/04/2018 21:08","MMS10267","","","","Zinc",".","7440-66-6","N","EP200.8",0,"U","",,1,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",2,1,1
"","CB for HBN 1783709 (MMS/10267)","1","","1464834","CB","","08/06/2018 13:07","08/04/2018 21:43","MMS10267","","","","Arsenic",".","7440-38-2","N","EP200.8",0,"U","",,1,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,3,"DSH",2,1,0.6
"","CB for HBN 1783709 (MMS/10267)","1","","1464834","CB","","08/06/2018 13:07","08/04/2018 21:43","MMS10267","","","","Cadmium",".","7440-43-9","N","EP200.8",0,"U","",,0.1,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,7,"DSH",0.2,0.1,0.06
"","CB for HBN 1783709 (MMS/10267)","1","","1464834","CB","","08/06/2018 13:07","08/04/2018 21:43","MMS10267","","","","Chromium",".","7440-47-3","N","EP200.8",0,"U","",,0.4,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,9,"DSH",0.8,0.4,0.312
"","CB for HBN 1783709 (MMS/10267)","1","","1464834","CB","","08/06/2018 13:07","08/04/2018 21:43","MMS10267","","","","Copper",".","7440-50-8","N","EP200.8",0,"U","",,0.2,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","CB for HBN 1783709 (MMS/10267)","1","","1464834","CB","","08/06/2018 13:07","08/04/2018 21:43","MMS10267","","","","Lead",".","7439-92-1","N","EP200.8",0,"U","",,0.04,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,13,"DSH",0.08,0.04,0.0248
"","CB for HBN 1783709 (MMS/10267)","1","","1464834","CB","","08/06/2018 13:07","08/04/2018 21:43","MMS10267","","","","Zinc",".","7440-66-6","N","EP200.8",0,"U","",,1,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",2,1,1
"","CCV for HBN 1783478 (WFI/2731)","1","","1463731","CCV","","08/01/2018 17:16","08/01/2018 10:13","WFI2731","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",2.41,"=","",,0.025,"mg/L",1,5,5,,,2.5,96.5,90,110,,,,,3,"","Waters Department",20,11,"AYC",0.05,0.025,0.0125
"","CCV for HBN 1783478 (WFI/2731)","1","","1463733","CCV","","08/01/2018 17:16","08/01/2018 10:35","WFI2731","","","","",".","Nitrate","N","SM21 4500NO3-F",1.17,"=","",,0.025,"mg/L",1,5,5,,,1.25,93.5,70,130,,,,,3,"","Waters Department",20,9,"AYC",0.05,0.025,0.0125
"","CCV for HBN 1783478 (WFI/2731)","1","","1463733","CCV","","08/01/2018 17:16","08/01/2018 10:35","WFI2731","","","","",".","Nitrite","N","SM21 4500NO3-F",1.18,"=","",,0.025,"mg/L",1,5,5,,,1.25,94.7,90,110,,,,,3,"","Waters Department",20,10,"AYC",0.05,0.025,0.0125
"","CCV for HBN 1783478 (WFI/2731)","1","","1463733","CCV","","08/01/2018 17:16","08/01/2018 10:35","WFI2731","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",2.35,"=","",,0.025,"mg/L",1,5,5,,,2.5,94.1,90,110,,,,,3,"","Waters Department",20,11,"AYC",0.05,0.025,0.0125
"","CCV for HBN 1783709 (MMS/10267","1","","1464829","CCV","","08/06/2018 13:06","08/04/2018 20:29","MMS10267","","","","Arsenic",".","7440-38-2","N","EP200.8",51.7,"=","",,1,"ug/L",1,100,100,,,50,103,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,3,"DSH",2,1,0.6
"","CCV for HBN 1783709 (MMS/10267","1","","1464829","CCV","","08/06/2018 13:06","08/04/2018 20:29","MMS10267","","","","Cadmium",".","7440-43-9","N","EP200.8",24.9,"=","",,0.1,"ug/L",1,100,100,,,25,99.4,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,7,"DSH",0.2,0.1,0.06
"","CCV for HBN 1783709 (MMS/10267","1","","1464829","CCV","","08/06/2018 13:06","08/04/2018 20:29","MMS10267","","","","Chromium",".","7440-47-3","N","EP200.8",47.5,"=","",,0.4,"ug/L",1,100,100,,,50,95.1,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,9,"DSH",0.8,0.4,0.312
"","CCV for HBN 1783709 (MMS/10267","1","","1464829","CCV","","08/06/2018 13:06","08/04/2018 20:29","MMS10267","","","","Copper",".","7440-50-8","N","EP200.8",51.4,"=","",,0.2,"ug/L",1,100,100,,,50,103,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","CCV for HBN 1783709 (MMS/10267","1","","1464829","CCV","","08/06/2018 13:06","08/04/2018 20:29","MMS10267","","","","Lead",".","7439-92-1","N","EP200.8",10.2,"=","",,0.04,"ug/L",1,100,100,,,10,102,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,13,"DSH",0.08,0.04,0.0248
"","CCV for HBN 1783709 (MMS/10267","1","","1464829","CCV","","08/06/2018 13:06","08/04/2018 20:29","MMS10267","","","","Zinc",".","7440-66-6","N","EP200.8",52.1,"=","",,1,"ug/L",1,100,100,,,50,104,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",2,1,1
"","CCV for HBN 1783709 (MMS/10267","1","","1464831","CCV","","08/06/2018 13:07","08/04/2018 21:05","MMS10267","","","","Arsenic",".","7440-38-2","N","EP200.8",52.5,"=","",,1,"ug/L",1,100,100,,,50,105,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,3,"DSH",2,1,0.6
