"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1522643 MS FOR [MXX32628]","1","07/30/2019 14:00","1522644","MS","","07/31/2019 19:33","08/05/2019 17:29","MMS10582","MXX32628","E200.2","08/01/2019 09:55","Copper",".","7440-50-8","N","EP200.8",1050,"=","",,0.5,"ug/L",1,20,50,,,1000,104,70,130,7.18,,,,3,"(<1000)","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",1,0.5,0.31
"","1522643 MS FOR [MXX32628]","1","07/30/2019 14:00","1522644","MS","","07/31/2019 19:33","08/05/2019 17:29","MMS10582","MXX32628","E200.2","08/01/2019 09:55","Zinc",".","7440-66-6","N","EP200.8",1070,"=","",,5,"ug/L",1,20,50,,,1000,106,70,130,5.98,,,,3,"(<5000)","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",10,5,3.1
"","1522645 MS FOR [MXX32628]","1","07/29/2019 18:30","1522646","MS","","07/31/2019 19:34","08/05/2019 18:08","MMS10582","MXX32628","E200.2","08/01/2019 09:55","Copper",".","7440-50-8","N","EP200.8",1110,"=","",,0.5,"ug/L",1,20,50,,,1000,110,70,130,12.9,,,,3,"(<1000)","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",1,0.5,0.31
"","1522645 MS FOR [MXX32628]","1","07/29/2019 18:30","1522646","MS","","07/31/2019 19:34","08/05/2019 18:08","MMS10582","MXX32628","E200.2","08/01/2019 09:55","Zinc",".","7440-66-6","N","EP200.8",1230,"=","",,5,"ug/L",1,20,50,,,1000,113,70,130,104,,,,3,"(<5000)","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",10,5,3.1
"","CB for HBN 1797452 (MMS/10582)","1","","1523655","CB","","08/06/2019 12:20","08/05/2019 17:13","MMS10582","","","","Copper",".","7440-50-8","N","EP200.8",0,"U","",,0.2,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","CB for HBN 1797452 (MMS/10582)","1","","1523655","CB","","08/06/2019 12:20","08/05/2019 17:13","MMS10582","","","","Zinc",".","7440-66-6","N","EP200.8",0,"U","",,2,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",4,2,1.24
"","CB for HBN 1797452 (MMS/10582)","1","","1523657","CB","","08/06/2019 12:20","08/05/2019 17:50","MMS10582","","","","Copper",".","7440-50-8","N","EP200.8",0,"U","",,0.2,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","CB for HBN 1797452 (MMS/10582)","1","","1523657","CB","","08/06/2019 12:20","08/05/2019 17:50","MMS10582","","","","Zinc",".","7440-66-6","N","EP200.8",0,"U","",,2,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",4,2,1.24
"","CB for HBN 1797452 (MMS/10582)","1","","1523659","CB","","08/06/2019 12:20","08/05/2019 18:26","MMS10582","","","","Copper",".","7440-50-8","N","EP200.8",0,"U","",,0.2,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","CB for HBN 1797452 (MMS/10582)","1","","1523659","CB","","08/06/2019 12:20","08/05/2019 18:26","MMS10582","","","","Zinc",".","7440-66-6","N","EP200.8",0,"U","",,2,"ug/L",1,100,100,,,,,,,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",4,2,1.24
"","CCV for HBN 1797452 (MMS/10582","1","","1523654","CCV","","08/06/2019 12:20","08/05/2019 17:10","MMS10582","","","","Copper",".","7440-50-8","N","EP200.8",51.3,"=","",,0.2,"ug/L",1,100,100,,,50,103,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","CCV for HBN 1797452 (MMS/10582","1","","1523654","CCV","","08/06/2019 12:20","08/05/2019 17:10","MMS10582","","","","Zinc",".","7440-66-6","N","EP200.8",52,"=","",,2,"ug/L",1,100,100,,,50,104,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",4,2,1.24
"","CCV for HBN 1797452 (MMS/10582","1","","1523656","CCV","","08/06/2019 12:20","08/05/2019 17:47","MMS10582","","","","Copper",".","7440-50-8","N","EP200.8",52.3,"=","",,0.2,"ug/L",1,100,100,,,50,105,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","CCV for HBN 1797452 (MMS/10582","1","","1523656","CCV","","08/06/2019 12:20","08/05/2019 17:47","MMS10582","","","","Zinc",".","7440-66-6","N","EP200.8",53.3,"=","",,2,"ug/L",1,100,100,,,50,107,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",4,2,1.24
"","CCV for HBN 1797452 (MMS/10582","1","","1523658","CCV","","08/06/2019 12:20","08/05/2019 18:23","MMS10582","","","","Copper",".","7440-50-8","N","EP200.8",50.4,"=","",,0.2,"ug/L",1,100,100,,,50,101,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","CCV for HBN 1797452 (MMS/10582","1","","1523658","CCV","","08/06/2019 12:20","08/05/2019 18:23","MMS10582","","","","Zinc",".","7440-66-6","N","EP200.8",51.6,"=","",,2,"ug/L",1,100,100,,,50,103,85,115,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",4,2,1.24
"","ICV for HBN 1797452 [MMS/10582","1","","1523462","ICV","","08/05/2019 17:00","08/05/2019 12:17","MMS10582","","","","Copper",".","7440-50-8","N","EP200.8",52.3,"=","",,0.2,"ug/L",1,100,100,,,50,105,90,110,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,11,"DSH",0.4,0.2,0.124
"","ICV for HBN 1797452 [MMS/10582","1","","1523462","ICV","","08/05/2019 17:00","08/05/2019 12:17","MMS10582","","","","Zinc",".","7440-66-6","N","EP200.8",50.4,"=","",,2,"ug/L",1,100,100,,,50,101,90,110,,,,,3,"","Metals by ICP/MS (Provisional Cert)",15,32,"DSH",4,2,1.24
