"PROJECT_ID","SAMPLE_ID","MATRIX","COLLECT_DATE","LAB_SAMPLE_ID","SAMPLE_TYPE","LOCATION","REC_DATE","RUN_DATE_TIME","ANL_BATCH","PRP_BATCH","EXTRACTION_CODE","EXTRACTED_DATE","ANALYTE","DISSOLVED","CAS_NUMBER","ANALYTE_FLAG","ANALYTICAL_METHOD",RESULT,"RESULTFLAG","TEXT_RESULT",MDL,REPDL,"UNITS",ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,"ALLOWABLE_LIMIT","ANALYSIS_GROUP",METHOD_ORDER,ANALYTE_ORDER,"ANALYST",LOQ,LOD,DL
"","1194284001 MS FOR [WXX12974]","1","07/30/2019 09:00","1526066","MS","","07/31/2019 16:40","08/15/2019 11:48","WDA4629","WXX12974","SM21 4500P-B,E","08/14/2019 21:30","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.207,"=","",,0.01,"mg/L",1,25,25,,,0.2,89.5,75,125,0.0277,,,,3,"","Waters Department",20,266,"DMM",0.02,0.01,0.005
"","1194284001 MSD FOR [WXX12974]","1","07/30/2019 09:00","1526067","MSD","","07/31/2019 16:40","08/15/2019 11:49","WDA4629","WXX12974","SM21 4500P-B,E","08/14/2019 21:30","Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.21,"=","",,0.01,"mg/L",1,25,25,,,0.2,91.4,75,125,0.0277,1.8,0,25,3,"","Waters Department",20,266,"DMM",0.02,0.01,0.005
"","1194337009 MS FOR [WFI2832]","1","08/01/2019 10:46","1524592","MS","","08/05/2019 09:17","08/09/2019 15:50","WFI2832","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.51,"=","",,0.1,"mg/L",2,5,5,,,5,107,90,110,0.14,,,,3,"","Waters Department",20,11,"EWW",0.2,0.1,0.05
"","1194337009 MSD FOR [WFI2832]","1","08/01/2019 10:46","1524593","MSD","","08/05/2019 09:17","08/09/2019 15:52","WFI2832","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.6,"=","",,0.1,"mg/L",2,5,5,,,5,109,90,110,0.14,1.7,0,25,3,"","Waters Department",20,11,"EWW",0.2,0.1,0.05
"","1194397001 MS FOR [WFI2832]","9","08/07/2019 10:29","1524594","MS","","08/07/2019 10:30","08/09/2019 15:10","WFI2832","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",29.3,"=","",,0.4,"mg/L",8,5,5,,,20,106,90,110,8.14,,,,3,"","Waters Department",20,11,"EWW",0.8,0.4,0.2
"","1194397001 MSD FOR [WFI2832]","9","08/07/2019 10:29","1524595","MSD","","08/07/2019 10:30","08/09/2019 15:11","WFI2832","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",30.5,"=","",,0.4,"mg/L",8,5,5,,,20,112,90,110,8.14,3.9,0,25,3,"","Waters Department",20,11,"EWW",0.8,0.4,0.2
"","CB for HBN 1797709 (WFI/2832)","1","","1524784","CB","","08/12/2019 11:42","08/09/2019 15:04","WFI2832","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"EWW",0.1,0.05,0.025
"","CB for HBN 1797709 (WFI/2832)","1","","1524784","CB","","08/12/2019 11:42","08/09/2019 15:04","WFI2832","","","","",".","Nitrite","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,10,"EWW",0.1,0.05,0.025
"","CB for HBN 1797709 (WFI/2832)","1","","1524784","CB","","08/12/2019 11:42","08/09/2019 15:04","WFI2832","","","","Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,11,"EWW",0.1,0.05,0.025
"","CB for HBN 1797709 (WFI/2832)","1","","1524786","CB","","08/12/2019 11:42","08/09/2019 15:15","WFI2832","","","","",".","Nitrate","N","SM21 4500NO3-F",0,"U","",,0.05,"mg/L",1,5,5,,,,,,,,,,,3,"","Waters Department",20,9,"EWW",0.1,0.05,0.025
