unique.dat.analyte.,analyte_abbreviation,param_in_qapp
Aluminum,Al,N
Antimony,Sb,N
Barium,Ba,N
Beryllium,Be,N
Arsenic,As,Y
Benzene,Benzene,Y
Cadmium,Cd,Y
Chromium,Cr,Y
Copper,Cu,Y
Fecal Coliform,FC,Y
"Iron, Total",Total Fe,Y
Lead,Pb,Y
"Magnesium, Total",Total Mg,Y
o-Xylene,o-Xylene,Y
P & M -Xylene,P & M -Xylene,Y
Phosphorus,P,N
Toluene,Toluene,Y
Total Nitrate/Nitrite-N,Total Nitrate/Nitrite-N,Y
Total Phosphorus,Total P,Y
Total suspended solids,TSS,Y
Zinc,Zn,Y
Xylenes (total),Xylenes (total),Y
Calcium,Ca,N
"Calcium, Total",Total Ca,Y
Cobalt,Co,N
Ethylbenzene,Ethylbenzene,Y
Iron,Fe,N
Magnesium,Mg,N
Manganese,Mn,N
Molybdenum,Mo,N
Nickel,Ni,N
Potassium,K,N
Selenium,Se,N
Silicon,Si,N
Silver,Ag,N
Sodium,Na,N
Thallium,Tl,N
Tin,Sn,N
Titanium,Ti,N
Vanadium,V,N
