col_names,col_class
project_id,i
monitoring_location_id,i
activity_media_name,c
activity_media_subdivision_name,c
activity_id,c
activity_start_date,c
activity_start_time,c
activity_start_time_zone,c
activity_latitude,n
activity_longitude,n
activity_type,c
activity_depth_height_measure,i
activity_depth_height_unit,c
activity_comment,c
activity_horizontal_collection_method,c
activity_horizontal_reference_datum,c
characteristic_name,c
result_analytical_method_id,c
result_analytical_method_context,c
result_value,n
result_unit,c
result_qualifier,c
result_weight_basis,c
result_sample_fraction,c
method_speciation,c
result_value_type,c
sample_collection_equipment_name,c
result_detection_condition,c
result_status_id,c
result_detection_limit_type_1,c
result_detection_limit_value_1,n
result_detection_limit_unit_1,c
result_detection_limit_type_2,c
result_detection_limit_value_2,n
result_detection_limit_unit_2,c
laboratory_name,c
laboratory_comment_text,c
analysis_start_date,c
analysis_start_time,c
analysis_start_time_zone,c
thermal_preservative_used,c
sample_container_type,c
sample_container_color,c
chemical_preservative_used,c
