sample_id,site_id,collect_date
MP42262-D1,,5/18/2023
MP42269-D1,,5/19/2023
MP42262-S1,,5/18/2023
MP42269-S1,,5/19/2023
MP42262-S2,,5/18/2023
MP42269-S2,,5/19/2023
MP42262-B1,,5/18/2023
MP42269-B1,,5/19/2023
MP42262-MB1,,5/18/2023
MP42269-MB1,,5/19/2023
MP42269-MB2A,,5/19/2023
CB for HBN 1859984 (MMS/12014),,NA
MB for HBN 1859841 [MXX/36032],,NA
MB for HBN 1859842 [MXX/36033],,NA
LLQC for HBN 1859841 [MXX/3603,,NA
1233640029MS,,7/18/2023
1233640039MS,,7/18/2023
1233640043MS,,7/18/2023
1233640051MS,,7/18/2023
LCS for HBN 1859841 [MXX/36032,,NA
LCS for HBN 1859842 [MXX/36033,,NA
LLQC for HBN 1859842 [MXX/3603,,NA
CCV for HBN 1859984 (MMS/12014,,NA
ICV for HBN 1859984 (MMS/12014,,NA
QCS for HBN 1859984 (MMS/12014,,NA
CB for HBN 1859626 (WFI/3055),,NA
ICB for HBN 1859626 (WFI/3055),,NA
MB for HBN 1859626 (WFI/3055),,NA
LABREFQC,,7/17/2023
LLQC for HBN 1859626 [WFI/3055,,NA
1233556001 MSD FOR [WFI3055],,7/14/2023
1233579003 MSD FOR [WFI3055],,7/17/2023
1233640007MSD,,7/18/2023
1233556001 MS FOR [WFI3055],,7/14/2023
1233579003 MS FOR [WFI3055],,7/17/2023
1233640007MS,,7/18/2023
LCS for HBN 1859626 (WFI/3055),,NA
CCV for HBN 1859626 (WFI/3055),,NA
ICV for HBN 1859626 (WFI/3055),,NA
QCS for HBN 1859626 (WFI/3055),,NA
CB for HBN 1860549 (WDA/5565),,NA
CB for HBN 1860549 [WDA/5565],,NA
LABREFQC,,7/14/2023
MB for HBN 1860548 [WXX/14861],,NA
MB for HBN 1860550 [WXX/14862],,NA
MB for HBN 1860551 [WXX/14863],,NA
1233556001 MSD FOR [WXX14861],,7/14/2023
1233640004MSD,,7/18/2023
1233640022MSD,,7/18/2023
LCSD for HBN 1860551 [WXX/1486,,NA
LCSD for HBN 1860548 [WXX/1486,,NA
LCSD for HBN 1860550 [WXX/1486,,NA
1233556001 MS FOR [WXX14861],,7/14/2023
1233640004MS,,7/18/2023
1233640022MS,,7/18/2023
CCV for HBN 1860549 (WDA/5565),,NA
LCS for HBN 1860550 [WXX/14862,,NA
LCS for HBN 1860551 [WXX/14863,,NA
CCV for HBN 1860549 [WDA/5565],,NA
ICV for HBN 1860549 [WDA/5565],,NA
LCS for HBN 1860548 [WXX/14861,,NA
QCS for HBN 1860549 [WDA/5565],,NA
IB for HBN 1859916 (VMS/22601),,NA
MB for HBN 1859914 [VXX/40176],,NA
TRIP BLANK,,7/18/2023
LB for HBN 1859662 [TCLP/12524,,NA
LB for HBN 1859737 [TCLP/12525,,NA
LB for HBN 1859820 [TCLP/12530,,NA
LCSD for HBN 1859914 [VXX/4017,,NA
CCV for HBN 1859916 (VMS/22601,,NA
CVC for HBN 1859916 (VMS/22601,,NA
LCS for HBN 1859914 [VXX/40176,,NA
RM 1.5 Kenai City Dock FB,KBL_m_01.5,7/18/2023
RM1.5-Kenai City Dock,KBL_m_01.5,7/18/2023
RM 1.5- Kenai City Dock,KBL_m_01.5,7/18/2023
RM 1.5-KENAI CITY DOCK,KBL_m_01.5,5/3/2023
RM 1.5-KENAI CITY DOCK-DUP,KBL_m_01.5,5/3/2023
RM10.1-Kenai River,KBL_m_10.1,7/18/2023
RM 10.1 - Kenai River,KBL_m_10.1,7/18/2023
RM12.5-Pillars,KBL_m_12.5,7/18/2023
RM 12.5 - Pillars,KBL_m_12.5,7/18/2023
RM 12.5-PILLARS,KBL_m_12.5,5/3/2023
RM 12.5-PILLARS-FIELD BLANK,KBL_m_12.5,5/2/2023
