sample_location_rm,site_id,monitoring_location_id,,,,,,,
BLANK,, ,,,,,,,
RM 0,KBL_t_00.0,10000008,,,,,,,
RM 1.5,KBL_m_01.5,10000002,,,,,,,
RM 1.5 DUP,KBL_m_01.5,10000002,,,,,,,
RM 6.5,KBL_m_06.5,10000005,,,,,,,
RM 10,KBL_t_10.0,10000015,,,,,,,
RM 10.1,KBL_m_10.1,10000016,,,,,,,
RM 12.5,KBL_m_12.5,10000017,,,,,,,
RM 18,KBL_m_18.0,10000018,,,,,,, 
RM 19,KBL_t_19.0,10000020,,,,,,,
RM 21,KBL_m_21.0,10000021,,,,,,,
RM 22,KBL_t_22.0,10000022,,, ,,,,
RM 23,KBL_m_23.0,10000023,,,,,,,
RM 30,KBL_t_30.0,10000024,,,,,,,
RM 31,KBL_m_31.0,10000025,,,,,,,
RM 36,KBL_t_36.0,10000026,,,,,,,
RM 36 DUP,KBL_t_36.0,10000026,,,,,,,
RM 40,KBL_m_40.0,10000027,,,,,,,
RM 43,KBL_m_43.0,10000028,,,,,,,
RM 44,KBL_t_44.0,10000029,,,,,,,
RM 50,KBL_m_50.0,10000030,,,,,,,
RM 70,KBL_m_70.0,10000031,,,,,,,
RM 74,KBL_t_74.0,10000032,,,,,,,
RM 79.5,KBL_t_79.5,10000424,,,,,,,
RM 82,KBL_m_82.0,10000425,,,, ,,,
POSITIVE,,,,,,,,,
RM 0 DUP,KBL_t_00.0,10000008,,,,,,,
