sample_location,site_id,monitoring_location_id,,
BLANK 1,,,,
RM_0,KBL_t_00.0,10000008,,
RM_1.5,KBL_m_01.5,10000002,,
RM_1.5_DUP,KBL_m_01.5,10000002,,
RM_6.5,KBL_m_06.5,10000005,,
RM_10,KBL_t_10.0,10000015,, 
RM_10.1,KBL_m_10.1,10000016,,
BLANK 2,,,,
RM_12.5,KBL_m_12.5,10000017,,
RM_18,KBL_m_18.0,10000018,,
RM_19,KBL_t_19.0,10000020,,
RM_21,KBL_m_21.0,10000021,,
RM_22,KBL_t_22.0,10000022,,
RM_23,KBL_m_23.0,10000023,,
BLANK 3,,,,
RM_30,KBL_t_30.0,10000024,,
RM_31,KBL_m_31.0,10000025,,
RM_36,KBL_t_36.0,10000026,,
RM_36_DUP,KBL_t_36.0,10000026,,
RM_40,KBL_m_40.0,10000027,,
RM_43,KBL_m_43.0,10000028,,
BLANK 4,,,,
RM_44,KBL_t_44.0,10000029,,
RM_50,KBL_m_50.0,10000030,,
RM_70,KBL_m_70.0,10000031,,
RM_74,KBL_t_74.0,10000032,,
RM_79.5,KBL_t_79.5,10000424,,
RM_82,KBL_m_82.0,10000425,,
RM_0_DUP,KBL_t_00.0,10000008,,
