"sample_id","collect_date","collect_time","lab_sample_id","sample_type","rec_date","rec_time","run_date","run_time","anl_batch","prp_batch","extraction_code","extracted_date","extracted_time","analyte","cas_number","analyte_flag","analytical_method","result","resultflag","repdl","limit_definition","units","analytical_cut","initial_wt_vol","final_vol","amount_spiked","percent_recovery","rec_limit_low","rec_limit_high","initial_conc","sample_rpd","rpd_limit_low","rpd_limit_high","rep_sig_digs","analysis_group","method_order","analte_order","loq","lod","dl","sdg","run_date_time","percent_recovered","allowable_limit","analyte_order","lab_name","matrix","site_id","monitoring_location_id"
"RM 1.5-KENAI CITY DOCK","2023-05-03","13:53:00","FC5912-3","PS","2023-05-09",NA,"2023-05-23","12:29:00","MA19438","MP42262","EPA 200.7","2023-05-18","16:00:00","Calcium","7440-70-2","N","EPA 200.7",291000,"",500,"LOD","ug/l",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals",1,80,5000,500,5000,"FC5912",NA,NA,NA,NA,"SGS North America, Anchorage, Alaska","Water","RM 1.5-KENAI CITY DOCK","10000002"
"RM 1.5-KENAI CITY DOCK","2023-05-03","13:53:00","FC5912-3","PS","2023-05-09",NA,"2023-05-23","12:29:00","MA19438","MP42262","EPA 200.7","2023-05-18","16:00:00","Copper","7440-50-8","N","EPA 200.7",0,"U",10,"LOD","ug/l",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals",1,110,130,10,130,"FC5912",NA,NA,NA,NA,"SGS North America, Anchorage, Alaska","Water","RM 1.5-KENAI CITY DOCK","10000002"
"RM 1.5-KENAI CITY DOCK","2023-05-03","13:53:00","FC5912-3","PS","2023-05-09",NA,"2023-05-23","12:29:00","MA19438","MP42262","EPA 200.7","2023-05-18","16:00:00","Iron","7439-89-6","N","EPA 200.7",12200,"",250,"LOD","ug/l",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals",1,120,1500,250,1500,"FC5912",NA,NA,NA,NA,"SGS North America, Anchorage, Alaska","Water","RM 1.5-KENAI CITY DOCK","10000002"
"RM 1.5-KENAI CITY DOCK","2023-05-03","13:53:00","FC5912-3","PS","2023-05-09",NA,"2023-05-23","12:29:00","MA19438","MP42262","EPA 200.7","2023-05-18","16:00:00","Magnesium","7439-95-4","N","EPA 200.7",906000,"",500,"LOD","ug/l",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals",1,140,25000,500,25000,"FC5912",NA,NA,NA,NA,"SGS North America, Anchorage, Alaska","Water","RM 1.5-KENAI CITY DOCK","10000002"
"RM 1.5-KENAI CITY DOCK","2023-05-03","13:53:00","FC5912-3","PS","2023-05-09",NA,"2023-05-23","12:29:00","MA19438","MP42262","EPA 200.7","2023-05-18","16:00:00","Zinc","7440-66-6","N","EPA 200.7",0,"U",25,"LOD","ug/l",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals",1,280,100,25,100,"FC5912",NA,NA,NA,NA,"SGS North America, Anchorage, Alaska","Water","RM 1.5-KENAI CITY DOCK","10000002"
"RM 1.5-KENAI CITY DOCK-DUP","2023-05-03","13:37:00","FC5912-2","PS","2023-05-09",NA,"2023-05-23","12:24:00","MA19438","MP42262","EPA 200.7","2023-05-18","16:00:00","Calcium","7440-70-2","N","EPA 200.7",316000,"",500,"LOD","ug/l",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals",1,80,5000,500,5000,"FC5912",NA,NA,NA,NA,"SGS North America, Anchorage, Alaska","Water","RM 1.5-KENAI CITY DOCK-DUP","10000002"
"RM 1.5-KENAI CITY DOCK-DUP","2023-05-03","13:37:00","FC5912-2","PS","2023-05-09",NA,"2023-05-23","12:24:00","MA19438","MP42262","EPA 200.7","2023-05-18","16:00:00","Copper","7440-50-8","N","EPA 200.7",0,"U",10,"LOD","ug/l",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals",1,110,130,10,130,"FC5912",NA,NA,NA,NA,"SGS North America, Anchorage, Alaska","Water","RM 1.5-KENAI CITY DOCK-DUP","10000002"
"RM 1.5-KENAI CITY DOCK-DUP","2023-05-03","13:37:00","FC5912-2","PS","2023-05-09",NA,"2023-05-23","12:24:00","MA19438","MP42262","EPA 200.7","2023-05-18","16:00:00","Iron","7439-89-6","N","EPA 200.7",12000,"",250,"LOD","ug/l",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals",1,120,1500,250,1500,"FC5912",NA,NA,NA,NA,"SGS North America, Anchorage, Alaska","Water","RM 1.5-KENAI CITY DOCK-DUP","10000002"
"RM 1.5-KENAI CITY DOCK-DUP","2023-05-03","13:37:00","FC5912-2","PS","2023-05-09",NA,"2023-05-23","12:24:00","MA19438","MP42262","EPA 200.7","2023-05-18","16:00:00","Magnesium","7439-95-4","N","EPA 200.7",991000,"",500,"LOD","ug/l",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals",1,140,25000,500,25000,"FC5912",NA,NA,NA,NA,"SGS North America, Anchorage, Alaska","Water","RM 1.5-KENAI CITY DOCK-DUP","10000002"
"RM 1.5-KENAI CITY DOCK-DUP","2023-05-03","13:37:00","FC5912-2","PS","2023-05-09",NA,"2023-05-23","12:24:00","MA19438","MP42262","EPA 200.7","2023-05-18","16:00:00","Zinc","7440-66-6","N","EPA 200.7",0,"U",25,"LOD","ug/l",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Metals",1,280,100,25,100,"FC5912",NA,NA,NA,NA,"SGS North America, Anchorage, Alaska","Water","RM 1.5-KENAI CITY DOCK-DUP","10000002"
