"Client","Project","Service Request","Sample","Lab Code","Sample Type","Date Collected","Date Received","Date Extracted","Date Analyzed","Extraction Method","Method","Matrix","Basis","Units","Component","Dilution Factor","Reporting Limit","Detection Limit","Result","Result Notes","Spike Concentration","Percent Recovery","Acceptance Limits","Average","RPD","Retention Time","Regulatory Limit"
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 0-NO NAME CREEK","K2405043-001","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","6560","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 0-NO NAME CREEK","K2405043-001","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.96","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 0-NO NAME CREEK","K2405043-001","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","4850","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 0-NO NAME CREEK","K2405043-001","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","5210","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 0-NO NAME CREEK","K2405043-001","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","4.3","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 0-NO NAME CREEK-DUP","K2405043-002","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","6490","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 0-NO NAME CREEK-DUP","K2405043-002","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","1.04","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 0-NO NAME CREEK-DUP","K2405043-002","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","5270","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 0-NO NAME CREEK-DUP","K2405043-002","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","5290","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 0-NO NAME CREEK-DUP","K2405043-002","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","4.8","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 1.5-KENAI CITY DOCK","K2405043-003","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","62800","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 1.5-KENAI CITY DOCK","K2405043-003","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","17.4","=","","","","","","",""
