"monitoring_location_id","activity_id","activity_start_date","activity_start_time","activity_type","characteristic_name","result_analytical_method_id","result_analytical_method_context","result_value","result_unit","result_qualifier","result_sample_fraction","method_speciation","result_detection_condition","result_detection_limit_type_1","result_detection_limit_value_1","result_detection_limit_unit_1","result_detection_limit_type_2","result_detection_limit_value_2","result_detection_limit_unit_2","laboratory_name","analysis_start_date","analysis_start_time","analysis_start_time_zone","sample_container_type","sample_container_color","chemical_preservative_used","sample_type","rec_time","rec_date","project_id","activity_media_name","activity_media_subdivision_name","activity_start_time_zone","activity_latitude","activity_longitude","activity_depth_height_measure","activity_depth_height_unit","activity_comment","activity_horizontal_collection_method","activity_horizontal_reference_datum","result_weight_basis","result_value_type","sample_collection_equipment_name","thermal_preservative_used","rec_datetime","activity_start_datetime","hold_time_hours","max_holding_time_hours","hold_time_pass"
"10000008","KBL_t_00.0-2023-05-02-Ca",2023-05-02,10:30:00,"Field Msr/Obs","Calcium","200.7","USEPA",9790,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","1000","ug/l","Method Detection Level","100","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:15","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.550888,-151.268417,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 10:30:00,166.5,4320,"Y"
"10000008","KBL_t_00.0-2023-05-02-Cu",2023-05-02,10:30:00,"Field Msr/Obs","Copper","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","25","ug/l","Method Detection Level","2","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:15","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.550888,-151.268417,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 10:30:00,166.5,4320,"Y"
"10000008","KBL_t_00.0-2023-05-02-Fe",2023-05-02,10:30:00,"Field Msr/Obs","Iron","200.7","USEPA",5410,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","300","ug/l","Method Detection Level","50","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:15","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.550888,-151.268417,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 10:30:00,166.5,4320,"Y"
"10000008","KBL_t_00.0-2023-05-02-Mg",2023-05-02,10:30:00,"Field Msr/Obs","Magnesium","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","5000","ug/l","Method Detection Level","100","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:15","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.550888,-151.268417,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 10:30:00,166.5,4320,"Y"
"10000008","KBL_t_00.0-2023-05-02-Zn",2023-05-02,10:30:00,"Field Msr/Obs","Zinc","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","20","ug/l","Method Detection Level","5","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:15","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.550888,-151.268417,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 10:30:00,166.5,4320,"Y"
"10000002","KBL_m_01.5-2023-05-02-Ca",2023-05-02,13:53:00,"Field Msr/Obs","Calcium","200.7","USEPA",291000,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","5000","ug/l","Method Detection Level","500","ug/l","SGS North America, Anchorage, Alaska","05/23/2023","12:29","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.54368,-151.22294,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 13:53:00,163.116666666667,4320,"Y"
"10000002","KBL_m_01.5-2023-05-02-Cu",2023-05-02,13:53:00,"Field Msr/Obs","Copper","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","130","ug/l","Method Detection Level","10","ug/l","SGS North America, Anchorage, Alaska","05/23/2023","12:29","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.54368,-151.22294,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 13:53:00,163.116666666667,4320,"Y"
"10000002","KBL_m_01.5-2023-05-02-Fe",2023-05-02,13:53:00,"Field Msr/Obs","Iron","200.7","USEPA",12200,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","1500","ug/l","Method Detection Level","250","ug/l","SGS North America, Anchorage, Alaska","05/23/2023","12:29","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.54368,-151.22294,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 13:53:00,163.116666666667,4320,"Y"
"10000002","KBL_m_01.5-2023-05-02-Mg",2023-05-02,13:53:00,"Field Msr/Obs","Magnesium","200.7","USEPA",906000,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","25000","ug/l","Method Detection Level","500","ug/l","SGS North America, Anchorage, Alaska","05/23/2023","12:29","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.54368,-151.22294,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 13:53:00,163.116666666667,4320,"Y"
"10000002","KBL_m_01.5-2023-05-02-Zn",2023-05-02,13:53:00,"Field Msr/Obs","Zinc","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","100","ug/l","Method Detection Level","25","ug/l","SGS North America, Anchorage, Alaska","05/23/2023","12:29","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.54368,-151.22294,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 13:53:00,163.116666666667,4320,"Y"
"10000002","KBL_m_01.5-2023-05-02-Ca-DUP",2023-05-02,13:37:00,"Quality Control Field Replicate Msr/Obs","Calcium","200.7","USEPA",316000,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","5000","ug/l","Method Detection Level","500","ug/l","SGS North America, Anchorage, Alaska","05/23/2023","12:24","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.54368,-151.22294,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 13:37:00,163.383333333333,4320,"Y"
"10000002","KBL_m_01.5-2023-05-02-Cu-DUP",2023-05-02,13:37:00,"Quality Control Field Replicate Msr/Obs","Copper","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","130","ug/l","Method Detection Level","10","ug/l","SGS North America, Anchorage, Alaska","05/23/2023","12:24","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.54368,-151.22294,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 13:37:00,163.383333333333,4320,"Y"
"10000002","KBL_m_01.5-2023-05-02-Fe-DUP",2023-05-02,13:37:00,"Quality Control Field Replicate Msr/Obs","Iron","200.7","USEPA",12000,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","1500","ug/l","Method Detection Level","250","ug/l","SGS North America, Anchorage, Alaska","05/23/2023","12:24","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.54368,-151.22294,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 13:37:00,163.383333333333,4320,"Y"
"10000002","KBL_m_01.5-2023-05-02-Mg-DUP",2023-05-02,13:37:00,"Quality Control Field Replicate Msr/Obs","Magnesium","200.7","USEPA",991000,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","25000","ug/l","Method Detection Level","500","ug/l","SGS North America, Anchorage, Alaska","05/23/2023","12:24","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.54368,-151.22294,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 13:37:00,163.383333333333,4320,"Y"
"10000002","KBL_m_01.5-2023-05-02-Zn-DUP",2023-05-02,13:37:00,"Quality Control Field Replicate Msr/Obs","Zinc","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","100","ug/l","Method Detection Level","25","ug/l","SGS North America, Anchorage, Alaska","05/23/2023","12:24","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.54368,-151.22294,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 13:37:00,163.383333333333,4320,"Y"
"10000015","KBL_t_10.0-2023-05-02-Ca",2023-05-02,10:05:00,"Field Msr/Obs","Calcium","200.7","USEPA",8440,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","1000","ug/l","Method Detection Level","100","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:45","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.548029,-151.14324,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 10:05:00,166.916666666667,4320,"Y"
"10000015","KBL_t_10.0-2023-05-02-Cu",2023-05-02,10:05:00,"Field Msr/Obs","Copper","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","25","ug/l","Method Detection Level","2","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:45","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.548029,-151.14324,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 10:05:00,166.916666666667,4320,"Y"
"10000015","KBL_t_10.0-2023-05-02-Fe",2023-05-02,10:05:00,"Field Msr/Obs","Iron","200.7","USEPA",8630,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","300","ug/l","Method Detection Level","50","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:45","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.548029,-151.14324,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 10:05:00,166.916666666667,4320,"Y"
"10000015","KBL_t_10.0-2023-05-02-Mg",2023-05-02,10:05:00,"Field Msr/Obs","Magnesium","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","5000","ug/l","Method Detection Level","100","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:45","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.548029,-151.14324,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 10:05:00,166.916666666667,4320,"Y"
"10000015","KBL_t_10.0-2023-05-02-Zn",2023-05-02,10:05:00,"Field Msr/Obs","Zinc","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","20","ug/l","Method Detection Level","5","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:45","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.548029,-151.14324,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 10:05:00,166.916666666667,4320,"Y"
"10000017","KBL_m_12.5-2023-05-02-Ca",2023-05-02,08:32:00,"Field Msr/Obs","Calcium","200.7","USEPA",11000,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","1000","ug/l","Method Detection Level","100","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:50","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.533743,-151.099258,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 08:32:00,168.466666666667,4320,"Y"
"10000017","KBL_m_12.5-2023-05-02-Cu",2023-05-02,08:32:00,"Field Msr/Obs","Copper","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","25","ug/l","Method Detection Level","2","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:50","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.533743,-151.099258,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 08:32:00,168.466666666667,4320,"Y"
"10000017","KBL_m_12.5-2023-05-02-Fe",2023-05-02,08:32:00,"Field Msr/Obs","Iron","200.7","USEPA",2020,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","300","ug/l","Method Detection Level","50","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:50","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.533743,-151.099258,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 08:32:00,168.466666666667,4320,"Y"
"10000017","KBL_m_12.5-2023-05-02-Mg",2023-05-02,08:32:00,"Field Msr/Obs","Magnesium","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","5000","ug/l","Method Detection Level","100","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:50","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.533743,-151.099258,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 08:32:00,168.466666666667,4320,"Y"
"10000017","KBL_m_12.5-2023-05-02-Zn",2023-05-02,08:32:00,"Field Msr/Obs","Zinc","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","20","ug/l","Method Detection Level","5","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:50","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.533743,-151.099258,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 08:32:00,168.466666666667,4320,"Y"
"10000018","KBL_m_18.0-2023-05-02-Ca",2023-05-02,09:24:00,"Field Msr/Obs","Calcium","200.7","USEPA",11400,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","1000","ug/l","Method Detection Level","100","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:55","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.502005,-151.106973,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 09:24:00,167.6,4320,"Y"
"10000018","KBL_m_18.0-2023-05-02-Cu",2023-05-02,09:24:00,"Field Msr/Obs","Copper","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","25","ug/l","Method Detection Level","2","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:55","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.502005,-151.106973,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 09:24:00,167.6,4320,"Y"
"10000018","KBL_m_18.0-2023-05-02-Fe",2023-05-02,09:24:00,"Field Msr/Obs","Iron","200.7","USEPA",1890,"ug/l","","Unfiltered","",NA,"Lower Quantitation Limit","300","ug/l","Method Detection Level","50","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:55","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.502005,-151.106973,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 09:24:00,167.6,4320,"Y"
"10000018","KBL_m_18.0-2023-05-02-Mg",2023-05-02,09:24:00,"Field Msr/Obs","Magnesium","200.7","USEPA",0,"ug/l","U","Unfiltered","","Not Detected","Lower Quantitation Limit","5000","ug/l","Method Detection Level","100","ug/l","SGS North America, Anchorage, Alaska","05/22/2023","11:55","AKST","Plastic Bottle","Opaque","","PS",09:00:00,2023-05-09,"10000007","Water","Surface Water","AKST",60.502005,-151.106973,"15","cm","","GPS-Unspecified","NAD83","Sampled","Actual","Water Bottle","Cold Packs (4 deg C)",2023-05-09 09:00:00,2023-05-02 09:24:00,167.6,4320,"Y"
