"","monitoring_location_id","activity_media_name","activity_media_subdivision_name","activity_id","activity_start_date","activity_start_time","activity_end_date","activity_end_time","activity_latitude","activity_longitude","activity_source_map_scale","activity_type","activity_depth_height_measure","activity_depth_height_unit","activity_top_depth_height_measure","activity_top_depth_height_unit","activity_bottom_depth_height_measure","activity_bottom_depth_height_unit","activity_relative_depth_name","activity_comment","characteristic_name","result_analytical_method_id","result_analytical_method_context","method_speciation","result_value","result_unit","result_qualifier","result_weight_basis","statistical_base_code","result_sample_fraction","result_value_type","result_comment","sample_collection_method_id","equipment_id","result_detection_condition","result_detection_limit_type_1","result_detection_limit_value_1","result_detection_limit_unit_1","result_detection_limit_type_2","result_detection_limit_value_2","result_detection_limit_unit_2","laboratory_accreditation_indicator","laboratory_name","laboratory_sample_id","analysis_start_date","analysis_start_time","biological_intent","subject_taxonomic_name","thermal_preservative","sample_container_type","sample_container_color","chemical_preservative","flag","time_zone"
"1",10000020,"Water","Surface Water","10000020-2025-04-30-Cd","2025-04-30","09:58:00.000000",NA,NA,60.48175453,-151.1306816,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Cadmium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L",NA,"SGS",1251731031,"2025-05-02","19:46:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"2",10000020,"Water","Surface Water","10000020-2025-04-30-Cr","2025-04-30","09:58:00.000000",NA,NA,60.48175453,-151.1306816,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Chromium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731031,"2025-05-02","19:46:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"3",10000020,"Water","Surface Water","10000020-2025-04-30-Cu","2025-04-30","09:58:00.000000",NA,NA,60.48175453,-151.1306816,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Unfiltered","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731007,"2025-05-02","15:36:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"4",10000020,"Water","Surface Water","10000020-2025-04-30-Cu","2025-04-30","09:58:00.000000",NA,NA,60.48175453,-151.1306816,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731031,"2025-05-02","19:46:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"5",10000020,"Water","Surface Water","10000020-2025-04-30-Pb","2025-04-30","09:58:00.000000",NA,NA,60.48175453,-151.1306816,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Lead","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L",NA,"SGS",1251731031,"2025-05-02","19:46:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"6",10000022,"Water","Surface Water","10000022-2025-04-30-Cu-DUP","2025-04-30","10:42:00.000000",NA,NA,60.483364,-151.057656,NA,"Quality Control Field Replicate Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Unfiltered","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731010,"2025-05-02","15:54:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"7",10000008,"Water","Surface Water","10000008-2025-04-30-Cd","2025-04-30","09:48:00.000000",NA,NA,60.550888,-151.268417,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Cadmium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L",NA,"SGS",1251731025,"2025-05-02","19:28:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"8",10000008,"Water","Surface Water","10000008-2025-04-30-Cr","2025-04-30","09:48:00.000000",NA,NA,60.550888,-151.268417,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Chromium","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L",NA,"SGS",1251731025,"2025-05-02","19:28:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"9",10000008,"Water","Surface Water","10000008-2025-04-30-Cu","2025-04-30","09:48:00.000000",NA,NA,60.550888,-151.268417,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Copper","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L",NA,"SGS",1251731025,"2025-05-02","19:28:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
"10",10000008,"Water","Surface Water","10000008-2025-04-30-Pb","2025-04-30","09:48:00.000000",NA,NA,60.550888,-151.268417,NA,"Field Msr/Obs",15,"cm",NA,NA,NA,NA,NA,1251731,"Lead","200.8","USEPA",NA,0,"ug/L","U","Sampled",NA,"Dissolved","Actual",NA,NA,"Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L",NA,"SGS",1251731025,"2025-05-02","19:28:00",NA,NA,"Cold packs","Plastic Bottle","Opaque",NA,"N","AKDT"
