"Monitoring Location ID","Activity Media Name","Activity Media Subdivision Name","Activity ID","Activity Start Date","Activity Start Time","Activity End Date","Activity End Time","Activity Latitude","Activity Longitude","Activity Source Map Scale","Activity Type","Activity Depth/Height Measure","Activity Depth/Height Unit","Activity Top Depth/Height Measure","Activity Top Depth/Height Unit","Activity Bottom Depth/Height Measure","Activity Bottom Depth/Height Unit","Activity Relative Depth Name","Activity Comment","Characteristic Name","Result Analytical Method ID","Result Analytical Method Context","Method Speciation","Result Value","Result Unit","Result Qualifier","Result Weight Basis","Statistical Base Code","Result Sample Fraction","Result Value Type","Result Comment","Sample Collection Method ID","Equipment ID","Result Detection Condition","Result Detection Limit Type 1","Result Detection Limit Value 1","Result Detection Limit Unit 1","Result Detection Limit Type 2","Result Detection Limit Value 2","Result Detection Limit Unit 2","Laboratory Accreditation Indicator","Laboratory Name","Laboratory Sample ID","Analysis Start Date","Analysis Start Time","Biological Intent","Subject Taxonomic Name","Thermal Preservative","Sample Container Type","Sample Container Color","Chemical Preservative"
"10000020","Water","Surface Water","10000020-2025-04-30-Cd",2025-04-30,09:58:00.000000,"","",60.48175453,-151.1306816,"","Field Msr/Obs",15,"cm","","","","","","1251731","Cadmium","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L","","SGS","1251731031",2025-05-02,19:46:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000020","Water","Surface Water","10000020-2025-04-30-Cr",2025-04-30,09:58:00.000000,"","",60.48175453,-151.1306816,"","Field Msr/Obs",15,"cm","","","","","","1251731","Chromium","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L","","SGS","1251731031",2025-05-02,19:46:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000020","Water","Surface Water","10000020-2025-04-30-Cu",2025-04-30,09:58:00.000000,"","",60.48175453,-151.1306816,"","Field Msr/Obs",15,"cm","","","","","","1251731","Copper","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Unfiltered","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L","","SGS","1251731007",2025-05-02,15:36:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000020","Water","Surface Water","10000020-2025-04-30-Cu",2025-04-30,09:58:00.000000,"","",60.48175453,-151.1306816,"","Field Msr/Obs",15,"cm","","","","","","1251731","Copper","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L","","SGS","1251731031",2025-05-02,19:46:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000020","Water","Surface Water","10000020-2025-04-30-Pb",2025-04-30,09:58:00.000000,"","",60.48175453,-151.1306816,"","Field Msr/Obs",15,"cm","","","","","","1251731","Lead","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L","","SGS","1251731031",2025-05-02,19:46:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000022","Water","Surface Water","10000022-2025-04-30-Cu-DUP",2025-04-30,10:42:00.000000,"","",60.483364,-151.057656,"","Quality Control Field Replicate Msr/Obs",15,"cm","","","","","","1251731","Copper","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Unfiltered","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L","","SGS","1251731010",2025-05-02,15:54:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000008","Water","Surface Water","10000008-2025-04-30-Cd",2025-04-30,09:48:00.000000,"","",60.550888,-151.268417,"","Field Msr/Obs",15,"cm","","","","","","1251731","Cadmium","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L","","SGS","1251731025",2025-05-02,19:28:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000008","Water","Surface Water","10000008-2025-04-30-Cr",2025-04-30,09:48:00.000000,"","",60.550888,-151.268417,"","Field Msr/Obs",15,"cm","","","","","","1251731","Chromium","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L","","SGS","1251731025",2025-05-02,19:28:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000008","Water","Surface Water","10000008-2025-04-30-Cu",2025-04-30,09:48:00.000000,"","",60.550888,-151.268417,"","Field Msr/Obs",15,"cm","","","","","","1251731","Copper","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",3,"ug/L","Method Detection Level",2.25,"ug/L","","SGS","1251731025",2025-05-02,19:28:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000008","Water","Surface Water","10000008-2025-04-30-Pb",2025-04-30,09:48:00.000000,"","",60.550888,-151.268417,"","Field Msr/Obs",15,"cm","","","","","","1251731","Lead","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L","","SGS","1251731025",2025-05-02,19:28:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000002","Water","Surface Water","10000002-2025-04-30-Cd",2025-04-30,10:26:00.000000,"","",60.54368,-151.22294,"","Field Msr/Obs",15,"cm","","","","","","1251731","Cadmium","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",0.5,"ug/L","Method Detection Level",0.375,"ug/L","","SGS","1251731026",2025-05-02,19:31:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000002","Water","Surface Water","10000002-2025-04-30-Cr",2025-04-30,10:26:00.000000,"","",60.54368,-151.22294,"","Field Msr/Obs",15,"cm","","","","","","1251731","Chromium","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",5,"ug/L","Method Detection Level",3.75,"ug/L","","SGS","1251731026",2025-05-02,19:31:00,"","","Cold packs","Plastic Bottle","Opaque",NA
"10000002","Water","Surface Water","10000002-2025-04-30-Pb",2025-04-30,10:26:00.000000,"","",60.54368,-151.22294,"","Field Msr/Obs",15,"cm","","","","","","1251731","Lead","200.8","USEPA","",0,"ug/L","U","Sampled",NA,"Dissolved","Actual","","","Water Bottle","Not Detected","Limit of Quantitation",2,"ug/L","Method Detection Level",1.5,"ug/L","","SGS","1251731026",2025-05-02,19:31:00,"","","Cold packs","Plastic Bottle","Opaque",NA
