Project ID,Monitoring Location ID,Activity Media Name,Activity Media Subdivision Name,Activity ID,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Latitude,Activity Longitude,Activity Type,Activity Depth/Height Measure,Activity Depth/Height Unit,Activity Comment,Activity Horizontal Collection Method,Activity Horizontal Reference Datum,Characteristic Name,Result Analytical Method ID,Result Analytical Method Context,Result Value,Result Unit,Result Qualifier,Result Weight Basis,Result Sample Fraction,Method Speciation,Result Value Type,Sample Collection Equipment Name,Result Detection Condition,Result Status ID,Result Detection Limit Type 1,Result Detection Limit Value 1,Result Detection Limit Unit 1,Result Detection Limit Type 2,Result Detection Limit Value 2,Result Detection Limit Unit 2,Laboratory Name,Laboratory Comment Text,Analysis Start Date,Analysis Start Time,Analysis Start Time Zone,Thermal Preservative Used,Sample Container Type,Sample Container Color,Chemical Preservative Used
10000007,10000002,Water,Surface Water,KBL_m_01.5-2021-07-27-Al,7/27/2021,10:30:00,AKST,60.54368,-151.22294,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655027,8/5/2021,9:58:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000005,Water,Surface Water,KBL_m_06.5-2021-07-27-Al,7/27/2021,9:10:00,AKST,60.54081,-151.18278,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655028,8/5/2021,10:01:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000008,Water,Surface Water,KBL_t_00.0-2021-07-27-Al,7/27/2021,9:30:00,AKST,60.550888,-151.268417,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655025,8/5/2021,9:53:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000008,Water,Surface Water,KBL_t_00.0-2021-07-27-Al-DUP,7/27/2021,9:45:00,AKST,60.550888,-151.268417,Quality Control Field Replicate Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655026,8/5/2021,9:55:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000015,Water,Surface Water,KBL_t_10.0-2021-07-27-Al,7/27/2021,9:50:00,AKST,60.548029,-151.14324,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655029,8/5/2021,10:03:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000016,Water,Surface Water,KBL_m_10.1-2021-07-27-Al,7/27/2021,10:10:00,AKST,60.539279,-151.142263,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655030,8/5/2021,10:06:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000017,Water,Surface Water,KBL_m_12.5-2021-07-27-Al,7/27/2021,10:28:00,AKST,60.533743,-151.099258,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655031,8/5/2021,10:09:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000018,Water,Surface Water,KBL_m_18.0-2021-07-27-Al,7/27/2021,10:50:00,AKST,60.502005,-151.106973,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655032,8/5/2021,10:12:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000020,Water,Surface Water,KBL_t_19.0-2021-07-27-Al,7/27/2021,9:28:00,AKST,60.482318,-151.127053,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655033,8/5/2021,10:14:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000021,Water,Surface Water,KBL_m_21.0-2021-07-27-Al,7/27/2021,10:10:00,AKST,60.476634,-151.082099,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655034,8/5/2021,10:17:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000022,Water,Surface Water,KBL_t_22.0-2021-07-27-Al,7/27/2021,11:25:00,AKST,60.483364,-151.057656,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655035,8/5/2021,10:25:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000023,Water,Surface Water,KBL_m_23.0-2021-07-27-Al,7/27/2021,10:43:00,AKST,60.480338,-151.030847,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655036,8/5/2021,10:28:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000024,Water,Surface Water,KBL_t_30.0-2021-07-27-Al,7/27/2021,9:30:00,AKST,60.489963,-150.860982,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655037,8/5/2021,10:31:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000002,Water,Surface Water,KBL_m_01.5-2021-07-27-Sb,7/27/2021,10:30:00,AKST,60.54368,-151.22294,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Antimony,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655027,8/5/2021,9:58:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000005,Water,Surface Water,KBL_m_06.5-2021-07-27-Sb,7/27/2021,9:10:00,AKST,60.54081,-151.18278,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Antimony,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655028,8/5/2021,10:01:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000008,Water,Surface Water,KBL_t_00.0-2021-07-27-Sb,7/27/2021,9:30:00,AKST,60.550888,-151.268417,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Antimony,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655025,8/5/2021,9:53:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000008,Water,Surface Water,KBL_t_00.0-2021-07-27-Sb-DUP,7/27/2021,9:45:00,AKST,60.550888,-151.268417,Quality Control Field Replicate Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Antimony,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655026,8/5/2021,9:55:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000015,Water,Surface Water,KBL_t_10.0-2021-07-27-Sb,7/27/2021,9:50:00,AKST,60.548029,-151.14324,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Antimony,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655029,8/5/2021,10:03:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000016,Water,Surface Water,KBL_m_10.1-2021-07-27-Sb,7/27/2021,10:10:00,AKST,60.539279,-151.142263,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Antimony,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655030,8/5/2021,10:06:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000017,Water,Surface Water,KBL_m_12.5-2021-07-27-Sb,7/27/2021,10:28:00,AKST,60.533743,-151.099258,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Antimony,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655031,8/5/2021,10:09:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000018,Water,Surface Water,KBL_m_18.0-2021-07-27-Sb,7/27/2021,10:50:00,AKST,60.502005,-151.106973,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Antimony,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655032,8/5/2021,10:12:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000020,Water,Surface Water,KBL_t_19.0-2021-07-27-Sb,7/27/2021,9:28:00,AKST,60.482318,-151.127053,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Antimony,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655033,8/5/2021,10:14:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
10000007,10000021,Water,Surface Water,KBL_m_21.0-2021-07-27-Sb,7/27/2021,10:10:00,AKST,60.476634,-151.082099,Field Msr/Obs,15,cm,NA,GPS-Unspecified,NAD83,Antimony,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",,Actual,Water Bottle,Not Detected,Accepted,Lower Quantitation Limit,1,ug/L,Method Detection Level,0.5,ug/L,"SGS North America, Anchorage, Alaska",1214655034,8/5/2021,10:17:00,AKST,Cold Packs (4 deg C),Plastic Bottle,Opaque,HNO3
