"project_id","sample_id","matrix","collect_date","lab_sample_id","sample_type","rec_date","anl_batch","prp_batch","extraction_code","extracted_date","analyte","cas_number","analyte_flag","analytical_method","result","resultflag","repdl","limit_definition","units","analytical_cut","initial_wt_vol","final_vol","amount_spiked","percent_recovered","rec_limit_low","rec_limit_high","initial_conc","sample_rpd","rpd_limit_low","rpd_limit_high","rep_sig_digs","allowable_limit","dissolved","analysis_group","method_order","analyte_order","loq","lod","dl","sdg","collect_time","rec_time","run_date","run_time","result_sample_fraction","epa_analysis_id","context_code","monitoring_location_id","sample_condition"
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819370","CB",2025-05-05,"MMS12669",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1251731",NA,10:07:00,2025-05-02,14:36:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819370","CB",2025-05-05,"MMS12669",NA,NA,NA,"Cadmium","7440-43-9","N","200.8",0,"U",0.15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,7,0.2,0.15,0.06,"1251731",NA,10:07:00,2025-05-02,14:36:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819370","CB",2025-05-05,"MMS12669",NA,NA,NA,"Calcium","7440-70-2","N","200.8",0,"U",150,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,8,200,150,60,"1251731",NA,10:07:00,2025-05-02,14:36:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819370","CB",2025-05-05,"MMS12669",NA,NA,NA,"Chromium","7440-47-3","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,9,2,1.5,1,"1251731",NA,10:07:00,2025-05-02,14:36:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819370","CB",2025-05-05,"MMS12669",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1251731",NA,10:07:00,2025-05-02,14:36:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819370","CB",2025-05-05,"MMS12669",NA,NA,NA,"Iron","7439-89-6","N","200.8",0,"U",75,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,12,100,75,31.2,"1251731",NA,10:07:00,2025-05-02,14:36:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819370","CB",2025-05-05,"MMS12669",NA,NA,NA,"Lead","7439-92-1","N","200.8",0,"U",0.6,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,13,0.8,0.6,0.2,"1251731",NA,10:07:00,2025-05-02,14:36:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819370","CB",2025-05-05,"MMS12669",NA,NA,NA,"Magnesium","7439-95-4","N","200.8",0,"U",15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,14,20,15,6,"1251731",NA,10:07:00,2025-05-02,14:36:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819370","CB",2025-05-05,"MMS12669",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1251731",NA,10:07:00,2025-05-02,14:36:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819372","CB",2025-05-05,"MMS12669",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1251731",NA,10:07:00,2025-05-02,15:12:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819372","CB",2025-05-05,"MMS12669",NA,NA,NA,"Cadmium","7440-43-9","N","200.8",0,"U",0.15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,7,0.2,0.15,0.06,"1251731",NA,10:07:00,2025-05-02,15:12:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819372","CB",2025-05-05,"MMS12669",NA,NA,NA,"Calcium","7440-70-2","N","200.8",0,"U",150,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,8,200,150,60,"1251731",NA,10:07:00,2025-05-02,15:12:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819372","CB",2025-05-05,"MMS12669",NA,NA,NA,"Chromium","7440-47-3","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,9,2,1.5,1,"1251731",NA,10:07:00,2025-05-02,15:12:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819372","CB",2025-05-05,"MMS12669",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1251731",NA,10:07:00,2025-05-02,15:12:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819372","CB",2025-05-05,"MMS12669",NA,NA,NA,"Iron","7439-89-6","N","200.8",0,"U",75,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,12,100,75,31.2,"1251731",NA,10:07:00,2025-05-02,15:12:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819372","CB",2025-05-05,"MMS12669",NA,NA,NA,"Lead","7439-92-1","N","200.8",0,"U",0.6,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,13,0.8,0.6,0.2,"1251731",NA,10:07:00,2025-05-02,15:12:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819372","CB",2025-05-05,"MMS12669",NA,NA,NA,"Magnesium","7439-95-4","N","200.8",0,"U",15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,14,20,15,6,"1251731",NA,10:07:00,2025-05-02,15:12:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819372","CB",2025-05-05,"MMS12669",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1251731",NA,10:07:00,2025-05-02,15:12:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819374","CB",2025-05-05,"MMS12669",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1251731",NA,10:07:00,2025-05-02,15:48:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819374","CB",2025-05-05,"MMS12669",NA,NA,NA,"Cadmium","7440-43-9","N","200.8",0,"U",0.15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,7,0.2,0.15,0.06,"1251731",NA,10:07:00,2025-05-02,15:48:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819374","CB",2025-05-05,"MMS12669",NA,NA,NA,"Calcium","7440-70-2","N","200.8",0,"U",150,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,8,200,150,60,"1251731",NA,10:07:00,2025-05-02,15:48:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819374","CB",2025-05-05,"MMS12669",NA,NA,NA,"Chromium","7440-47-3","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,9,2,1.5,1,"1251731",NA,10:07:00,2025-05-02,15:48:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819374","CB",2025-05-05,"MMS12669",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1251731",NA,10:07:00,2025-05-02,15:48:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819374","CB",2025-05-05,"MMS12669",NA,NA,NA,"Iron","7439-89-6","N","200.8",0,"U",75,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,12,100,75,31.2,"1251731",NA,10:07:00,2025-05-02,15:48:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819374","CB",2025-05-05,"MMS12669",NA,NA,NA,"Lead","7439-92-1","N","200.8",0,"U",0.6,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,13,0.8,0.6,0.2,"1251731",NA,10:07:00,2025-05-02,15:48:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819374","CB",2025-05-05,"MMS12669",NA,NA,NA,"Magnesium","7439-95-4","N","200.8",0,"U",15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,14,20,15,6,"1251731",NA,10:07:00,2025-05-02,15:48:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819374","CB",2025-05-05,"MMS12669",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1251731",NA,10:07:00,2025-05-02,15:48:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819376","CB",2025-05-05,"MMS12669",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1251731",NA,10:07:00,2025-05-02,16:14:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819376","CB",2025-05-05,"MMS12669",NA,NA,NA,"Cadmium","7440-43-9","N","200.8",0,"U",0.15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,7,0.2,0.15,0.06,"1251731",NA,10:07:00,2025-05-02,16:14:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819376","CB",2025-05-05,"MMS12669",NA,NA,NA,"Calcium","7440-70-2","N","200.8",0,"U",150,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,8,200,150,60,"1251731",NA,10:07:00,2025-05-02,16:14:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819376","CB",2025-05-05,"MMS12669",NA,NA,NA,"Chromium","7440-47-3","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,9,2,1.5,1,"1251731",NA,10:07:00,2025-05-02,16:14:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819376","CB",2025-05-05,"MMS12669",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1251731",NA,10:07:00,2025-05-02,16:14:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819376","CB",2025-05-05,"MMS12669",NA,NA,NA,"Iron","7439-89-6","N","200.8",0,"U",75,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,12,100,75,31.2,"1251731",NA,10:07:00,2025-05-02,16:14:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819376","CB",2025-05-05,"MMS12669",NA,NA,NA,"Lead","7439-92-1","N","200.8",0,"U",0.6,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,13,0.8,0.6,0.2,"1251731",NA,10:07:00,2025-05-02,16:14:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819376","CB",2025-05-05,"MMS12669",NA,NA,NA,"Magnesium","7439-95-4","N","200.8",0,"U",15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,14,20,15,6,"1251731",NA,10:07:00,2025-05-02,16:14:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819376","CB",2025-05-05,"MMS12669",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1251731",NA,10:07:00,2025-05-02,16:14:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819378","CB",2025-05-05,"MMS12669",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1251731",NA,10:14:00,2025-05-02,16:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819378","CB",2025-05-05,"MMS12669",NA,NA,NA,"Cadmium","7440-43-9","N","200.8",0,"U",0.15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,7,0.2,0.15,0.06,"1251731",NA,10:14:00,2025-05-02,16:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819378","CB",2025-05-05,"MMS12669",NA,NA,NA,"Calcium","7440-70-2","N","200.8",0,"U",150,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,8,200,150,60,"1251731",NA,10:14:00,2025-05-02,16:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819378","CB",2025-05-05,"MMS12669",NA,NA,NA,"Chromium","7440-47-3","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,9,2,1.5,1,"1251731",NA,10:14:00,2025-05-02,16:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819378","CB",2025-05-05,"MMS12669",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1251731",NA,10:14:00,2025-05-02,16:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819378","CB",2025-05-05,"MMS12669",NA,NA,NA,"Iron","7439-89-6","N","200.8",0,"U",75,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,12,100,75,31.2,"1251731",NA,10:14:00,2025-05-02,16:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819378","CB",2025-05-05,"MMS12669",NA,NA,NA,"Lead","7439-92-1","N","200.8",0,"U",0.6,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,13,0.8,0.6,0.2,"1251731",NA,10:14:00,2025-05-02,16:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819378","CB",2025-05-05,"MMS12669",NA,NA,NA,"Magnesium","7439-95-4","N","200.8",0,"U",15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,14,20,15,6,"1251731",NA,10:14:00,2025-05-02,16:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819378","CB",2025-05-05,"MMS12669",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1251731",NA,10:14:00,2025-05-02,16:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1911245 (MMS/12669)","1",NA,"1819382","CB",2025-05-05,"MMS12669",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1251731",NA,10:19:00,2025-05-02,18:08:00,"Unfiltered","200.8","USEPA",NA,NA
