"","result_analytical_method_id","activity_start_date","activity_type","flag_N","flag_Y","expected_results_n","cmb"
"1","120.1",2025-04-30,"Field Msr/Obs",19,NA,19,1
"2","120.1",2025-04-30,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"3","120.1",2025-07-23,"Field Msr/Obs",22,NA,22,1
"4","120.1",2025-07-23,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"5","150.1",2025-04-30,"Field Msr/Obs",19,NA,19,1
"6","150.1",2025-04-30,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"7","150.1",2025-07-23,"Field Msr/Obs",22,NA,22,1
"8","150.1",2025-07-23,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"9","170.1",2025-04-30,"Field Msr/Obs",19,NA,19,1
"10","170.1",2025-04-30,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"11","170.1",2025-07-23,"Field Msr/Obs",22,NA,22,1
"12","170.1",2025-07-23,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"13","180.1",2025-04-30,"Field Msr/Obs",19,NA,19,1
"14","180.1",2025-04-30,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"15","180.1",2025-07-23,"Field Msr/Obs",22,NA,22,1
"16","180.1",2025-07-23,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"17","200.8",2025-04-30,"Field Msr/Obs",167,NA,167,1
"18","200.8",2025-04-30,"Quality Control Field Replicate Msr/Obs",22,NA,22,1
"19","200.8",2025-07-23,"Field Msr/Obs",192,NA,192,1
"20","200.8",2025-07-23,"Quality Control Field Replicate Msr/Obs",22,NA,22,1
"21","2540-D",2025-04-30,"Field Msr/Obs",22,NA,22,1
"22","2540-D",2025-04-30,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"23","2540-D",2025-07-23,"Field Msr/Obs",22,NA,22,1
"24","2540-D",2025-07-23,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"25","360.1",2025-04-30,"Field Msr/Obs",16,NA,16,1
"26","360.1",2025-04-30,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"27","360.1",2025-07-23,"Field Msr/Obs",22,NA,22,1
"28","360.1",2025-07-23,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"29","4500-NO3(F)",2025-04-30,"Field Msr/Obs",20,NA,20,1
"30","4500-NO3(F)",2025-04-30,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"31","4500-NO3(F)",2025-07-23,"Field Msr/Obs",22,NA,22,1
"32","4500-NO3(F)",2025-07-23,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"33","4500-P-E",2025-04-30,"Field Msr/Obs",20,NA,20,1
"34","4500-P-E",2025-04-30,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"35","4500-P-E",2025-07-23,"Field Msr/Obs",22,NA,22,1
"36","4500-P-E",2025-07-23,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"37","8260D",2025-07-23,"Field Msr/Obs",36,NA,36,1
"38","8260D",2025-07-23,"Quality Control Sample-Trip Blank",36,NA,36,1
"39","9222D",2025-04-30,"Field Msr/Obs",20,NA,20,1
"40","9222D",2025-04-30,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
"41","9222D",2025-07-23,"Field Msr/Obs",22,NA,22,1
"42","9222D",2025-07-23,"Quality Control Field Replicate Msr/Obs",2,NA,2,1
