"sample","epa_analysis_id","analyte","collect_date","collect_time","lab_name","rec_date","rec_time","activity_datetime","rec_datetime","hold_time_hours","result_analytical_method_id","max_holding_time_text","max_holding_time_hours","hold_time_pass"
"RM  19-Slikok Creek","200.8","Cadmium",2025-04-30,09:58:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 09:58:00,2025-04-30 15:53:00,5.91666666666667,"200.8","180 days",4320,"Y"
"RM  19-Slikok Creek","200.8","Chromium",2025-04-30,09:58:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 09:58:00,2025-04-30 15:53:00,5.91666666666667,"200.8","180 days",4320,"Y"
"RM  19-Slikok Creek","200.8","Copper",2025-04-30,09:58:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 09:58:00,2025-04-30 15:53:00,5.91666666666667,"200.8","180 days",4320,"Y"
"RM  19-Slikok Creek","200.8","Copper",2025-04-30,09:58:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 09:58:00,2025-04-30 15:53:00,5.91666666666667,"200.8","180 days",4320,"Y"
"RM  19-Slikok Creek","200.8","Lead",2025-04-30,09:58:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 09:58:00,2025-04-30 15:53:00,5.91666666666667,"200.8","180 days",4320,"Y"
"RM  22- Soldotna Creek-DUP","200.8","Copper",2025-04-30,10:42:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 10:42:00,2025-04-30 15:53:00,5.18333333333333,"200.8","180 days",4320,"Y"
"RM 0-No Name Creek","200.8","Cadmium",2025-04-30,09:48:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 09:48:00,2025-04-30 15:53:00,6.08333333333333,"200.8","180 days",4320,"Y"
"RM 0-No Name Creek","200.8","Chromium",2025-04-30,09:48:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 09:48:00,2025-04-30 15:53:00,6.08333333333333,"200.8","180 days",4320,"Y"
"RM 0-No Name Creek","200.8","Copper",2025-04-30,09:48:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 09:48:00,2025-04-30 15:53:00,6.08333333333333,"200.8","180 days",4320,"Y"
"RM 0-No Name Creek","200.8","Lead",2025-04-30,09:48:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 09:48:00,2025-04-30 15:53:00,6.08333333333333,"200.8","180 days",4320,"Y"
"RM 1.5 -Kenai City Dock","200.8","Cadmium",2025-04-30,10:26:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 10:26:00,2025-04-30 15:53:00,5.45,"200.8","180 days",4320,"Y"
"RM 1.5 -Kenai City Dock","200.8","Chromium",2025-04-30,10:26:00.000000,"SGS",2025-04-30,15:53:00,2025-04-30 10:26:00,2025-04-30 15:53:00,5.45,"200.8","180 days",4320,"Y"
