"","monitoring_location_id","collect_date","Total","Dissolved","total_greater_eq_diss"
"1","10000020",2025-04-30,0,0,"Y"
"2","10000008",2025-04-30,0.00142,0,"Y"
"3","10000015",2025-04-30,0.00266,0,"Y"
"4","10000018",2025-04-30,0,0,"Y"
"5","10000021",2025-04-30,0,0,"Y"
"6","10000023",2025-04-30,0,0,"Y"
"7","10000024",2025-04-30,0,0,"Y"
"8","10000025",2025-04-30,0,0,"Y"
"9","10000022",2025-04-30,0,0,"Y"
"10","10000017",2025-04-30,0,0,"Y"
"11","10000002",2025-04-30,0.0481,0.019,"Y"
"12","10000008",2025-07-23,0.00125,0,"Y"
"13","10000002",2025-07-23,0.036,0,"Y"
"14","10000016",2025-07-23,0,0,"Y"
"15","10000015",2025-07-23,0,0,"Y"
"16","10000017",2025-07-23,0,0,"Y"
"17","10000018",2025-07-23,0,0,"Y"
"18","10000020",2025-07-23,0,0,"Y"
"19","10000021",2025-07-23,0,0,"Y"
"20","10000024",2025-07-23,0,0,"Y"
"21","10000025",2025-07-23,0,0,"Y"
"22","10000022",2025-07-23,0,0,"Y"
"23","10000023",2025-07-23,0,0,"Y"
"24","10000005",2025-07-23,0.00145,0,"Y"
