"","monitoring_location_id","collect_date","Total","Dissolved","total_greater_eq_diss"
"1","10000018",2025-04-30,0,0.0131,"N"
"2","10000021",2025-04-30,0,0.00662,"N"
"3","10000022",2025-04-30,0,0.00971,"N"
"4","10000023",2025-04-30,0,0.00633,"N"
"5","10000020",2025-04-30,0.00384,0.0229,"N"
"6","10000008",2025-04-30,0.009,0.0132,"N"
"7","10000002",2025-04-30,0.0546,0.00638,"Y"
"8","10000015",2025-04-30,0.00841,0.00999,"N"
"9","10000024",2025-04-30,0.00796,0.0052,"Y"
"10","10000025",2025-04-30,0.00552,0.00733,"N"
"11","10000017",2025-04-30,0.00468,0.0186,"N"
"12","10000008",2025-07-23,0.00519,0,"Y"
"13","10000002",2025-07-23,0.0872,0,"Y"
"14","10000016",2025-07-23,0.00385,0,"Y"
"15","10000015",2025-07-23,0,0,"Y"
"16","10000020",2025-07-23,0,0.0171,"N"
"17","10000017",2025-07-23,0,0,"Y"
"18","10000018",2025-07-23,0.00664,0,"Y"
"19","10000022",2025-07-23,0,0,"Y"
"20","10000024",2025-07-23,0,0,"Y"
"21","10000025",2025-07-23,0.00391,0,"Y"
"22","10000021",2025-07-23,0.00381,0,"Y"
"23","10000023",2025-07-23,0.00336,0,"Y"
"24","10000005",2025-07-23,0.00597,0,"Y"
