"monitoring_location_id","activity_start_date","characteristic_name","result_detection_condition","result_unit","result_detection_limit_type_1","result_detection_limit_value_1","result_detection_limit_unit_1","quality_control_field_replicate_msr_obs","field_msr_obs","rpd_eligible","rpd_pct"
10000022,"2025-04-30","Copper","Not Detected","ug/L","Limit of Quantitation",3,"ug/L",0,0,TRUE,NA
10000018,"2025-04-30","Arsenic","Not Detected","ug/L","Limit of Quantitation",5,"ug/L",0,0,TRUE,NA
10000018,"2025-04-30","Cadmium","Not Detected","ug/L","Limit of Quantitation",0.5,"ug/L",0,0,TRUE,NA
10000018,"2025-04-30","Chromium","Not Detected","ug/L","Limit of Quantitation",5,"ug/L",0,0,TRUE,NA
10000018,"2025-04-30","Copper","Not Detected","ug/L","Limit of Quantitation",3,"ug/L",0,0,TRUE,NA
10000018,"2025-04-30","Lead","Not Detected","ug/L","Limit of Quantitation",2,"ug/L",0,0,TRUE,NA
10000018,"2025-04-30","Zinc","Not Detected","ug/L","Limit of Quantitation",10,"ug/L",NA,0,FALSE,NA
10000018,"2025-04-30","Total Phosphorus","Not Detected","mg/L","Limit of Quantitation",0.04,"mg/L",NA,0,FALSE,NA
10000022,"2025-04-30","Zinc","Not Detected","ug/L","Limit of Quantitation",10,"ug/L",NA,0,FALSE,NA
10000022,"2025-04-30","Cadmium","Not Detected","ug/L","Limit of Quantitation",0.5,"ug/L",0,0,TRUE,NA
10000022,"2025-04-30","Chromium","Not Detected","ug/L","Limit of Quantitation",5,"ug/L",0,0,TRUE,NA
10000022,"2025-04-30","Lead","Not Detected","ug/L","Limit of Quantitation",2,"ug/L",0,0,TRUE,NA
10000022,"2025-04-30","Total Phosphorus",NA,"mg/L","Limit of Quantitation",0.04,"mg/L",0.0733,0.0702,TRUE,4.32055749128921
10000018,"2025-04-30","Total Phosphorus","Present Below Quantification Limit","mg/L","Limit of Quantitation",0.04,"mg/L",0.0127,NA,FALSE,NA
10000018,"2025-04-30","Zinc",NA,"ug/L","Limit of Quantitation",10,"ug/L",11.9,13.1,TRUE,9.59999999999999
10000022,"2025-04-30","Arsenic",NA,"ug/L","Limit of Quantitation",5,"ug/L",5.51,5.24,TRUE,5.02325581395348
10000022,"2025-04-30","Zinc",NA,"ug/L","Limit of Quantitation",10,"ug/L",10.3,NA,FALSE,NA
10000022,"2025-04-30","Zinc","Present Below Quantification Limit","ug/L","Limit of Quantitation",10,"ug/L",6.24,9.71,TRUE,43.5109717868339
10000022,"2025-04-30","Calcium",NA,"ug/L","Limit of Quantitation",500,"ug/L",16400,16200,TRUE,1.22699386503067
10000022,"2025-04-30","Iron",NA,"ug/L","Limit of Quantitation",250,"ug/L",1090,1130,TRUE,3.6036036036036
10000022,"2025-04-30","Magnesium",NA,"ug/L","Limit of Quantitation",50,"ug/L",4080,4080,TRUE,0
10000022,"2025-04-30","Total Nitrate/Nitrite-N","Present Below Quantification Limit","mg/L","Limit of Quantitation",0.2,"mg/L",0.077,0.0566,TRUE,30.5389221556886
10000018,"2025-04-30","Total Nitrate/Nitrite-N",NA,"mg/L","Limit of Quantitation",0.2,"mg/L",0.222,0.262,TRUE,16.5289256198347
10000018,"2025-04-30","Calcium",NA,"ug/L","Limit of Quantitation",500,"ug/L",15400,15500,TRUE,0.647249190938511
10000018,"2025-04-30","Iron","Present Below Quantification Limit","ug/L","Limit of Quantitation",250,"ug/L",NA,248,FALSE,NA
