"characteristic_name","n"
"1,2-Dichloroethane-D4 (surr)",8
"4-Bromofluorobenzene (surr)",8
"Arsenic",32
"Benzene",8
"Cadmium",32
"Calcium",49
"Chromium",32
"Copper",64
"Dissolved Oxygen",42
"Ethylbenzene",8
"Fecal Coliform",46
"Iron",49
"Lead",32
"Magnesium",49
"P & M -Xylene",8
"Specific Conductance",45
"Toluene",8
"Toluene-d8 (surr)",8
"Total Nitrate/Nitrite-N",46
"Total Phosphorus",46
"Total suspended solids",48
"Turbidity",45
"Water Temperature",45
"Xylenes (total)",8
"Zinc",64
"o-Xylene",8
"pH",45
